zip,donations,total,NAME,variable,estimate,moe,per_capita
21830,383,9341.89,ZCTA5 21830,B01003_001,4790,893,79.95824634655533
21835,19,79,ZCTA5 21835,B01003_001,207,106,91.78743961352657
21837,509,5382.609999999997,ZCTA5 21837,B01003_001,3322,464,153.22095123419626
21838,55,1579,ZCTA5 21838,B01003_001,1805,407,30.470914127423825
21840,59,936.9400000000002,ZCTA5 21840,B01003_001,353,211,167.1388101983003
21841,349,6055.21,ZCTA5 21841,B01003_001,1455,332,239.86254295532646
21842,2437,52256.51999999999,ZCTA5 21842,B01003_001,10525,625,231.54394299287412
21843,469,5810.200000000001,NA,NA,NA,NA,NA
21849,541,11445.820000000002,ZCTA5 21849,B01003_001,3659,742,147.8546050833561
21850,110,1634.26,ZCTA5 21850,B01003_001,3442,772,31.958163858221962
21851,810,13798.000000000004,ZCTA5 21851,B01003_001,7237,517,111.92483073096588
21852,1,20,NA,NA,NA,NA,NA
21853,555,8938.869999999994,ZCTA5 21853,B01003_001,11437,695,48.52671155023171
21854,1,10,NA,NA,NA,NA,NA
21855,1,50,NA,NA,NA,NA,NA
21856,221,2715.48,ZCTA5 21856,B01003_001,957,385,230.9299895506792
21858,6,98.28,NA,NA,NA,NA,NA
21861,42,1238.16,ZCTA5 21861,B01003_001,687,136,61.135371179039296
21862,2,20,ZCTA5 21862,B01003_001,86,137,23.25581395348837
21863,778,15254.77,ZCTA5 21863,B01003_001,4578,626,169.94320664045435
21864,59,2239.66,ZCTA5 21864,B01003_001,643,231,91.75738724727839
21865,284,5664.640000000003,ZCTA5 21865,B01003_001,433,237,655.8891454965358
21867,3,104,ZCTA5 21867,B01003_001,23,27,130.43478260869566
21869,178,1823.8399999999983,ZCTA5 21869,B01003_001,1155,224,154.1125541125541
21871,135,2733.2100000000005,ZCTA5 21871,B01003_001,2031,429,66.46971935007386
21872,51,683.82,ZCTA5 21872,B01003_001,585,345,87.17948717948717
21873,1,30,NA,NA,NA,NA,NA
21874,139,1668.7499999999998,ZCTA5 21874,B01003_001,1917,418,72.50912884715702
21875,853,14828.73,ZCTA5 21875,B01003_001,7084,872,120.41219649915303
21876,1,20,NA,NA,NA,NA,NA
21877,4,41,NA,NA,NA,NA,NA
21893,2,55,NA,NA,NA,NA,NA
21894,4,96,NA,NA,NA,NA,NA
21898,5,85,NA,NA,NA,NA,NA
2190,8,536.65,ZCTA5 02190,B01003_001,17466,1048,0.4580327493415779
21901,2086,51409.42999999997,ZCTA5 21901,B01003_001,17694,1407,117.89307109754719
21902,44,410,ZCTA5 21902,B01003_001,262,166,167.93893129770993
21903,1147,15152.06,ZCTA5 21903,B01003_001,5794,494,197.96341042457715
21904,1461,27753.210000000003,ZCTA5 21904,B01003_001,6484,596,225.32387415175816
21905,4,139,NA,NA,NA,NA,NA
21908,1,10,NA,NA,NA,NA,NA
21911,1120,18688.95999999996,ZCTA5 21911,B01003_001,11103,834,100.87363775556156
21912,119,4150.6,ZCTA5 21912,B01003_001,1520,451,78.28947368421052
21913,93,2956.27,ZCTA5 21913,B01003_001,901,263,103.21864594894562
21914,114,2967.6400000000003,ZCTA5 21914,B01003_001,804,258,141.7910447761194
21915,792,16423.720000000012,ZCTA5 21915,B01003_001,2739,510,289.1566265060241
21916,23,382,ZCTA5 21916,B01003_001,47,67,489.36170212765956
21917,167,6169.52,ZCTA5 21917,B01003_001,2017,532,82.796232027764
21918,604,11263.31,ZCTA5 21918,B01003_001,4321,488,139.7824577644064
21919,995,19727.17,ZCTA5 21919,B01003_001,2905,540,342.512908777969
21920,16,331,ZCTA5 21920,B01003_001,953,614,16.7890870933893
21921,6975,152703.25000000015,ZCTA5 21921,B01003_001,45225,1521,154.22885572139302
21922,46,5898,NA,NA,NA,NA,NA
21925,1,100,NA,NA,NA,NA,NA
21928,2,50,NA,NA,NA,NA,NA
21929,1,100,NA,NA,NA,NA,NA
21930,55,2363,ZCTA5 21930,B01003_001,120,156,458.3333333333333
21937,1,50,NA,NA,NA,NA,NA
21942,25,561.24,NA,NA,NA,NA,NA
21943,5,160,NA,NA,NA,NA,NA
21944,16,374,NA,NA,NA,NA,NA
21945,1,35,NA,NA,NA,NA,NA
21946,1,50,NA,NA,NA,NA,NA
21947,3,105,NA,NA,NA,NA,NA
21950,2,110,NA,NA,NA,NA,NA
21953,2,12,NA,NA,NA,NA,NA
21965,21,280,NA,NA,NA,NA,NA
21975,5,163,NA,NA,NA,NA,NA
21991,2,12,NA,NA,NA,NA,NA
21993,19,221,NA,NA,NA,NA,NA
22001,2,11,NA,NA,NA,NA,NA
22014,2,55,NA,NA,NA,NA,NA
22017,1,10,NA,NA,NA,NA,NA
22027,2,250,ZCTA5 22027,B01003_001,2427,529,0.8240626287597858
22042,41,200,ZCTA5 22042,B01003_001,36744,2768,1.1158284345743523
22043,10,140,ZCTA5 22043,B01003_001,25012,1544,0.39980809211578444
22044,23,467,ZCTA5 22044,B01003_001,14078,1477,1.6337547947151583
22045,14,183,NA,NA,NA,NA,NA
22046,5,440,ZCTA5 22046,B01003_001,18639,708,0.26825473469606737
22047,161,7081,NA,NA,NA,NA,NA
22050,1,25,NA,NA,NA,NA,NA
22057,16,250.72000000000003,NA,NA,NA,NA,NA
22061,2,28,NA,NA,NA,NA,NA
22066,1,100,ZCTA5 22066,B01003_001,17393,1036,0.05749439429655609
22075,3,63,NA,NA,NA,NA,NA
22076,2,55,NA,NA,NA,NA,NA
22078,20,660,NA,NA,NA,NA,NA
22085,1,13.43,NA,NA,NA,NA,NA
2209,1,20,NA,NA,NA,NA,NA
22093,6,266,NA,NA,NA,NA,NA
22104,2,220,NA,NA,NA,NA,NA
22113,1,3,NA,NA,NA,NA,NA
22114,13,13,NA,NA,NA,NA,NA
22117,1,10,NA,NA,NA,NA,NA
22122,21,920,NA,NA,NA,NA,NA
22124,2,13,ZCTA5 22124,B01003_001,18377,1040,0.10883169178864885
22133,22,177.86,NA,NA,NA,NA,NA
22146,5,150,NA,NA,NA,NA,NA
22150,1,10,ZCTA5 22150,B01003_001,29585,1669,0.03380091262464086
22157,1,25,NA,NA,NA,NA,NA
22192,1,10,ZCTA5 22192,B01003_001,59670,2035,0.016758840288252055
22204,1,47,ZCTA5 22204,B01003_001,53855,1730,0.01856837805217714
22205,2,29,ZCTA5 22205,B01003_001,18570,1084,0.10770059235325795
22207,2,88.25999999999999,ZCTA5 22207,B01003_001,34113,1358,0.058628675285081935
22208,4,125,NA,NA,NA,NA,NA
22209,17,303.0399999999999,ZCTA5 22209,B01003_001,13172,916,1.2906164591557852
22213,3,12,ZCTA5 22213,B01003_001,4168,727,0.7197696737044146
22216,3,60,NA,NA,NA,NA,NA
22218,1,50,NA,NA,NA,NA,NA
22220,3,35,NA,NA,NA,NA,NA
22228,4,69,NA,NA,NA,NA,NA
22234,3,40,NA,NA,NA,NA,NA
22237,1,5,NA,NA,NA,NA,NA
22244,2,150,NA,NA,NA,NA,NA
22286,1,25,NA,NA,NA,NA,NA
22303,5,236.17,ZCTA5 22303,B01003_001,14688,1053,0.3404139433551198
22304,3,60,ZCTA5 22304,B01003_001,49262,1582,0.060898867281068574
22306,7,150.72,ZCTA5 22306,B01003_001,34391,2361,0.2035416242621616
22307,2,3000,ZCTA5 22307,B01003_001,10286,820,0.19443904335990667
22310,9,95,ZCTA5 22310,B01003_001,32329,1763,0.27838782517244576
22311,3,505,ZCTA5 22311,B01003_001,18890,1170,0.15881418740074113
22314,3,62,ZCTA5 22314,B01003_001,35208,1389,0.08520790729379686
22315,3,17,ZCTA5 22315,B01003_001,29634,1395,0.10123506782749545
22324,1,500,NA,NA,NA,NA,NA
22401,20,409,ZCTA5 22401,B01003_001,29059,NA,0.6882549296259334
22402,15,455,NA,NA,NA,NA,NA
22403,18,638,NA,NA,NA,NA,NA
22407,2,7,ZCTA5 22407,B01003_001,59551,2142,0.033584658527984416
22502,18,571,NA,NA,NA,NA,NA
22550,5,20,NA,NA,NA,NA,NA
22551,2,55,ZCTA5 22551,B01003_001,20218,1580,0.09892175289346128
22554,2,29,ZCTA5 22554,B01003_001,57488,2249,0.034789869190091846
22601,14,226,ZCTA5 22601,B01003_001,29192,578,0.4795834475198684
22602,2,29.64,ZCTA5 22602,B01003_001,30665,1436,0.06522093592043046
22613,5,155,NA,NA,NA,NA,NA
22617,21,179,NA,NA,NA,NA,NA
22651,1,3,NA,NA,NA,NA,NA
22654,2,1000,ZCTA5 22654,B01003_001,833,324,2.4009603841536613
22658,13,130,NA,NA,NA,NA,NA
22661,2,12,NA,NA,NA,NA,NA
22663,5,35,ZCTA5 22663,B01003_001,690,196,7.246376811594203
22701,1,10,ZCTA5 22701,B01003_001,34793,1210,0.028741413502716064
22702,7,435,NA,NA,NA,NA,NA
22703,16,194,NA,NA,NA,NA,NA
22704,6,118,NA,NA,NA,NA,NA
22714,1,250,ZCTA5 22714,B01003_001,1027,329,0.9737098344693281
22738,8,193,ZCTA5 22738,B01003_001,1394,453,5.738880918220947
22740,1,48.26,ZCTA5 22740,B01003_001,922,280,1.0845986984815619
22745,1,15,NA,NA,NA,NA,NA
22750,1,250,NA,NA,NA,NA,NA
22769,9,163.5,NA,NA,NA,NA,NA
22770,1,20,NA,NA,NA,NA,NA
22771,82,1133.18,NA,NA,NA,NA,NA
22774,2,75,NA,NA,NA,NA,NA
22787,3,175,NA,NA,NA,NA,NA
22791,4,60,NA,NA,NA,NA,NA
22793,3,50,NA,NA,NA,NA,NA
22801,5,275,ZCTA5 22801,B01003_001,40284,1420,0.12411875682653162
22804,8,160,NA,NA,NA,NA,NA
22807,2,1100,ZCTA5 22807,B01003_001,3345,396,0.5979073243647235
22811,10,500,ZCTA5 22811,B01003_001,512,201,19.53125
22815,1,15,ZCTA5 22815,B01003_001,8915,606,0.11217049915872125
22817,7,17200,NA,NA,NA,NA,NA
22842,1,20,ZCTA5 22842,B01003_001,5572,569,0.17946877243359657
22875,1,50,NA,NA,NA,NA,NA
22910,33,12299,NA,NA,NA,NA,NA
22913,13,457,NA,NA,NA,NA,NA
22915,6,330,NA,NA,NA,NA,NA
